Time,og_F,corr_F
0,2.96021,1.12109
0.1,2.7771,0.926717
0.2,2.89917,1.037524
0.3,3.11279,1.239881
0.4,2.7771,0.892928
0.5,3.23486,1.339425
0.6,2.86865,0.961952
0.7,3.32642,1.408459
0.8,2.92969,1.000466
0.9,3.32642,1.385933
1,2.89917,0.94742
1.1,3.05176,1.088747
1.2,3.02124,1.046964
1.3,2.96021,0.974671
1.4,3.20435,1.207548
1.5,2.86865,0.860585
1.6,3.35693,1.337602
1.7,2.80762,0.777029
1.8,3.41797,1.376116
1.9,2.59399,0.540873
2,3.20435,1.13997
2.1,3.14331,1.067667
2.2,3.20435,1.117444
2.3,3.08228,0.984111
2.4,3.05176,0.942328
2.5,3.26538,1.144685
2.6,2.96021,0.828252
2.7,3.32642,1.183199
2.8,2.99072,0.836236
2.9,3.20435,1.038603
3,2.92969,0.75268
3.1,3.54004,1.351767
3.2,2.99072,0.791184
3.3,3.50952,1.298721
3.4,3.02124,0.799178
3.5,3.23486,1.001535
3.6,3.26538,1.020792
3.7,3.08228,0.826429
3.8,3.41797,1.150856
3.9,3.11279,0.834413
4,3.66211,1.37247
4.1,3.05176,0.750857
4.2,3.35693,1.044764
4.3,3.26538,0.941951
4.4,3.66211,1.327418
4.5,3.35693,1.010975
4.6,3.50952,1.152302
4.7,3.479,1.110519
4.8,3.2959,0.916156
4.9,3.57056,1.179553
5,3.35693,0.95466
5.1,3.84521,1.431677
5.2,3.50952,1.084724
5.3,3.69263,1.256571
5.4,3.23486,0.787538
5.5,3.66211,1.203525
5.6,3.38745,0.917602
5.7,3.72314,1.242029
5.8,3.41797,0.925596
5.9,3.38745,0.883813
6,3.60107,1.08617
6.1,3.26538,0.739217
6.2,3.72314,1.185714
6.3,3.50952,0.960831
6.4,3.75366,1.193708
6.5,3.479,0.907785
6.6,3.93677,1.354292
6.7,3.41797,0.824229
6.8,3.72314,1.118136
6.9,3.50952,0.893253
7,3.54004,0.91251
7.1,3.78418,1.145387
7.2,3.75366,1.103604
7.3,3.93677,1.275451
7.4,3.60107,0.928488
7.5,4.3335,1.649655
7.6,3.57056,0.875452
7.7,3.90625,1.199879
7.8,3.479,0.761366
7.9,3.93677,1.207873
8,3.75366,1.0135
8.1,3.84521,1.093787
8.2,3.69263,0.929944
8.3,3.72314,0.949191
8.4,3.93677,1.151558
8.5,3.57056,0.774085
8.6,4.05884,1.251102
8.7,3.63159,0.812589
8.8,4.24194,1.411676
8.9,3.479,0.637473
9,4.02832,1.17553
9.1,3.8147,0.950647
9.2,3.84521,0.969894
9.3,4.02832,1.141741
9.4,3.69263,0.794788
9.5,3.90625,0.997145
9.6,3.84521,0.924842
9.7,4.08936,1.157729
9.8,3.69263,0.749736
9.9,4.24194,1.287783
10,3.8147,0.84928
10.1,4.5166,1.539917
10.2,3.87573,0.887784
10.3,4.02832,1.029111
10.4,3.90625,0.895778
10.5,3.87573,0.853995
10.6,4.15039,1.117392
10.7,3.96729,0.923029
10.8,4.36401,1.308486
10.9,3.78418,0.717393
11,4.08936,1.01131
11.1,3.84521,0.755897
11.2,4.36401,1.263434
11.3,3.93677,0.824931
11.4,3.96729,0.844188
11.5,3.9978,0.863435
11.6,3.96729,0.821662
11.7,4.21143,1.054539
11.8,3.93677,0.768616
11.9,4.24194,1.062523
12,3.93677,0.74609
12.1,4.57764,1.375697
12.2,3.90625,0.693044
12.3,4.39453,1.170061
12.4,4.08936,0.853628
12.5,4.27246,1.025465
12.6,3.96729,0.709032
12.7,4.18091,0.911389
12.8,4.36401,1.083226
12.9,4.30298,1.010933
13,4.39453,1.09122
13.1,4.11987,0.805297
13.2,4.60815,1.282314
13.3,4.21143,0.874331
13.4,4.57764,1.229278
13.5,4.18091,0.821285
13.6,4.24194,0.871052
13.7,4.24194,0.859789
13.8,4.36401,0.970596
13.9,4.24194,0.837263
14,4.30298,0.88704
14.1,4.36401,0.936807
14.2,4.05884,0.620374
14.3,4.60815,1.158421
14.4,4.08936,0.628368
14.5,4.63867,1.166415
14.6,4.05884,0.575322
14.7,4.57764,1.082859
14.8,4.02832,0.522276
14.9,4.39453,0.877223
15,4.24194,0.71337
15.1,4.18091,0.641077
15.2,4.48608,0.934984
15.3,3.9978,0.435441
15.4,4.66919,1.095568
15.5,4.21143,0.626545
15.6,4.57764,0.981492
15.7,4.24194,0.634529
15.8,4.66919,1.050516
15.9,4.11987,0.489933
16,4.42505,0.78385
16.1,4.39453,0.742067
16.2,4.3335,0.669774
16.3,4.5166,0.841611
16.4,4.48608,0.799828
16.5,4.57764,0.880125
16.6,4.3335,0.624722
16.7,4.57764,0.857599
16.8,4.11987,0.388566
16.9,4.76074,1.018173
17,4.36401,0.61018
17.1,4.66919,0.904097
17.2,4.36401,0.587654
17.3,4.36401,0.576391
17.4,4.66919,0.870308
17.5,4.39453,0.584385
17.6,4.69971,0.878302
17.7,4.39453,0.561859
17.8,4.73022,0.886286
17.9,4.24194,0.386743
18,4.76074,0.89428
18.1,4.45557,0.577847
18.2,4.63867,0.749684
18.3,4.63867,0.738421
18.4,4.69971,0.788198
18.5,4.5166,0.593825
18.6,4.5166,0.582562
18.7,4.76074,0.815439
18.8,4.42505,0.468486
18.9,4.88281,0.914983
19,4.54712,0.56803
19.1,4.85229,0.861937
19.2,4.48608,0.484464
19.3,4.82178,0.808901
19.4,4.45557,0.431428
19.5,4.85229,0.816885
19.6,4.69971,0.653042
